,date,day,filename,flag,id,keywords,link,month,place,publisher,year
534,2017/03/22,22,/Users/Sahit/Documents/GitHub/Article-Analysis/webscrapper/webscrapper/article_data/2017-03-22T01:00:00+05:30->171744.txt,0,171744,[],http://timesofindia.indiatimes.com//entertainment/hindi/bollywood/news/swara-bhaskar-comes-to-a-spot-boys-rescue/articleshow/57752707.cms,03,NA,TOI,2017
535,2018/01/30,30,/Users/Sahit/Documents/GitHub/Article-Analysis/webscrapper/webscrapper/article_data/2018-01-30T08:49:55+05:30->21795.txt,0,21795,[],http://timesofindia.indiatimes.com//city/bengaluru/woman-hangs-herself-in-kengeri/articleshow/62704355.cms,01,bengaluru,TOI,2018
536,2017/01/26,26,/Users/Sahit/Documents/GitHub/Article-Analysis/webscrapper/webscrapper/article_data/2017-01-26T01:54:59+05:30->131598.txt,0,131598,[],http://timesofindia.indiatimes.com//city/mumbai/civic-amenities-still-few-and-far-between-in-urbanized-charkop/articleshow/56786936.cms,01,mumbai,TOI,2017
537,2018/04/22,22,/Users/Sahit/Documents/GitHub/Article-Analysis/webscrapper/webscrapper/article_data/2018-04-22T09:05:37+05:30->81660.txt,0,81660,[],http://timesofindia.indiatimes.com//city/ahmedabad/railway-unions-to-take-issues-to-pm/articleshow/63863074.cms,04,ahmedabad,TOI,2018
538,2018/02/20,20,/Users/Sahit/Documents/GitHub/Article-Analysis/webscrapper/webscrapper/article_data/2018-02-20T11:19:22+05:30->37352.txt,0,37352,[],http://timesofindia.indiatimes.com//city/chandigarh/three-killed-10-injured-in-ammonia-gas-leak-in-punjab/articleshow/62994196.cms,02,patiala,TOI,2018
539,2017/01/05,05,/Users/Sahit/Documents/GitHub/Article-Analysis/webscrapper/webscrapper/article_data/2017-01-05T11:39:57+05:30->116654.txt,0,116654,[],http://timesofindia.indiatimes.com//city/hyderabad/hyderabad-high-court-notice-to-centre-for-delaying-funds-to-minorities-commission/articleshow/56348675.cms,01,charminar,TOI,2017
540,2018/01/24,24,/Users/Sahit/Documents/GitHub/Article-Analysis/webscrapper/webscrapper/article_data/2018-01-24T12:56:15+05:30->16950.txt,0,16950,[],http://timesofindia.indiatimes.com//city/coimbatore/here-is-a-device-to-alert-people-about-elephant-movement-in-their-area/articleshow/62626109.cms,01,coimbatore,TOI,2018
541,2017/01/10,10,/Users/Sahit/Documents/GitHub/Article-Analysis/webscrapper/webscrapper/article_data/2017-01-10T01:00:00+05:30->119874.txt,0,119874,[],http://timesofindia.indiatimes.com//entertainment/hindi/bollywood/news/hrithik-roshan-i-believe-that-ive-come-a-full-circle-its-like-im-starting-again/articleshow/56420828.cms,01,NA,TOI,2017
542,2018/05/24,24,/Users/Sahit/Documents/GitHub/Article-Analysis/webscrapper/webscrapper/article_data/2018-05-24T08:20:38+05:30->105299.txt,0,105299,[],http://timesofindia.indiatimes.com//city/bhubaneswar/tight-security-arrangements-in-place-for-modis-visit-to-state/articleshow/64298458.cms,05,cuttack,TOI,2018
543,2017/05/05,05,/Users/Sahit/Documents/GitHub/Article-Analysis/webscrapper/webscrapper/article_data/2017-05-05T12:27:27+05:30->204582.txt,0,204582,[],http://timesofindia.indiatimes.com//business/india-business/over-1600-entities-default-in-paying-fine-to-sebi/articleshow/58529017.cms,05,NA,TOI,2017
